date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
2016-01-11 17:00:00,45,0,21.64,40.78,19.95,39.84,21.72,38.94,21.00,38.05,19.32,46.60,7.34,73.10,20.03,35.44,21.85,42.62,19.80,41.61,6.14,753.65,78.10,3.28,42.36,1.76,34.5107,34.5107
2016-01-11 17:10:00,45,0,21.18,40.69,20.26,40.61,22.14,39.57,21.28,38.76,19.53,47.32,7.21,72.97,20.07,36.72,21.85,42.41,19.83,40.46,6.01,757.74,77.97,3.68,35.93,1.61,14.8906,14.8906
2016-01-11 17:20:00,45,0,21.39,39.74,20.03,39.53,22.26,39.80,21.07,38.34,19.64,44.65,7.13,72.62,19.93,36.98,21.88,42.11,20.21,41.69,5.93,752.61,77.62,3.47,41.36,1.45,38.2480,38.2480
2016-01-11 17:30:00,45,0,21.85,40.75,20.09,40.31,21.94,40.33,20.98,38.53,19.35,46.25,7.45,71.17,19.86,36.17,22.04,41.80,19.93,42.00,6.25,753.89,76.17,3.44,37.11,1.49,25.4573,25.4573
2016-01-11 17:40:00,45,0,21.44,39.13,20.13,40.99,22.02,40.44,21.22,38.02,19.63,46.73,7.49,70.58,20.02,35.53,21.88,41.22,20.06,40.91,6.29,752.66,75.58,4.70,42.92,1.40,46.7832,46.7832
2016-01-11 17:50:00,45,0,21.80,39.60,20.28,40.22,21.79,40.03,21.02,39.56,19.52,44.00,8.44,70.81,19.89,35.04,22.06,42.76,20.30,40.62,7.24,755.00,75.81,3.13,44.13,2.40,3.7804,3.7804
2016-01-11 18:00:00,223,30,21.71,50.53,19.98,39.95,22.03,39.03,21.22,38.85,19.33,46.16,8.61,72.91,20.14,35.40,21.69,42.99,20.19,40.88,7.41,752.51,77.91,4.20,35.69,2.99,25.8436,25.8436
2016-01-11 18:10:00,248,30,21.16,50.26,20.04,40.81,22.22,38.64,20.84,39.34,19.33,44.53,8.13,69.84,20.26,36.14,21.78,42.57,20.28,40.38,6.93,755.53,74.84,3.31,37.20,1.90,5.6527,5.6527
2016-01-11 18:20:00,291,30,21.18,49.81,20.10,40.72,21.85,38.88,20.97,38.84,19.37,45.00,8.49,69.74,20.25,35.89,22.02,42.10,19.83,42.00,7.29,756.37,74.74,4.86,44.84,2.24,41.1293,41.1293
2016-01-11 18:30:00,273,30,21.42,49.12,20.13,40.97,21.86,40.07,20.97,38.85,19.77,47.98,9.16,70.65,20.03,36.44,21.59,41.59,20.38,41.16,7.96,753.00,75.65,4.20,37.14,3.09,27.0254,27.0254
2016-01-11 18:40:00,233,30,21.87,49.16,20.01,40.19,22.11,38.97,20.77,39.78,19.35,46.38,8.45,69.00,20.07,35.84,21.85,42.05,20.36,40.41,7.25,755.02,74.00,5.48,36.57,2.05,35.3772,35.3772
